	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0
JX016104.1.1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
EF444675.1.1245	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	1	0	1
JQ678400.1.1529	5	1	0	0	0	0	0	1	2	0	0	0	2	1	0	1	2	1	1	1	2	0	0	0	1	10	3
FM179894.1.1327	0	0	0	5	3	2	3	2	4	1	0	3	3	2	1	0	4	2	2	4	2	1	0	2	1	0	3
EU802571.1.1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HQ673123.1.1523	12	2	0	0	0	0	1	0	2	1	0	0	1	1	4	0	0	0	0	2	1	0	1	1	0	1	1
JQ309926.1.1453	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	2	2	3	0	0	0
KC169795.1.1494	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	4	3	6	12	16	0	0	0	0	0	0	0
FJ744804.1.1372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AB016054.1.1536	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	43	0	0	0	0	0	0	0	0	0	0
AM997436.1.1474	0	0	0	0	0	3	1	0	0	4	4	0	2	2	0	1	0	4	3	4	1	3	0	3	1	1	4
EU981816.1.1423	0	4	0	3	0	3	12	0	0	0	1	3	3	1	2	3	3	4	3	0	0	0	1	0	1	0	0
JQ062714.1.1465	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY753911.1.1438	4	7	7	2	1	6	0	0	0	1	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	3
