	TARA_112_DCM_0.8_5.0	TARA_097_DCM_0.8_5.0	TARA_096_DCM_0.8_5.0	TARA_151_DCM_0.8_5.0	TARA_142_DCM_0.8_5.0	TARA_006_DCM_0.8_5.0	TARA_066_DCM_0.8_5.0	TARA_051_DCM_0.8_5.0	TARA_132_DCM_0.8_5.0	TARA_086_DCM_0.8_5.0	TARA_034_DCM_0.8_5.0	TARA_058_DCM_0.8_5.0	TARA_080_DCM_0.8_5.0	TARA_102_DCM_0.8_5.0	TARA_128_DCM_0.8_5.0	TARA_032_DCM_0.8_5.0	TARA_106_DCM_0.8_5.0	TARA_025_DCM_0.8_5.0	TARA_122_DCM_0.8_5.0	TARA_111_DCM_0.8_5.0	TARA_110_DCM_0.8_5.0	TARA_109_DCM_0.8_5.0	TARA_138_DCM_0.8_5.0	TARA_004_DCM_0.8_5.0	TARA_135_DCM_0.8_5.0	TARA_009_DCM_0.8_5.0	TARA_016_DCM_0.8_5.0	TARA_042_DCM_0.8_5.0	TARA_072_DCM_0.8_5.0	TARA_093_DCM_0.8_5.0	TARA_081_DCM_0.8_5.0	TARA_137_DCM_0.8_5.0	TARA_038_DCM_0.8_5.0	TARA_068_DCM_0.8_5.0	TARA_143_DCM_0.8_5.0	TARA_078_DCM_0.8_5.0	TARA_065_DCM_0.8_5.0	TARA_041_DCM_0.8_5.0	TARA_064_DCM_0.8_5.0	TARA_005_DCM_0.8_5.0	TARA_036_DCM_0.8_5.0	TARA_023_DCM_0.8_5.0
JN977226.1.1528	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HQ672098.1.1440	9	4	0	6	6	5	7	5	11	0	7	2	3	8	8	3	4	1	14	2	7	5	3	5	8	4	1	6	14	4	1	4	1	11	0	9	10	10	18	0	7	0
JX016515.1.1456	1	0	1	1	0	2	2	0	0	0	0	0	8	0	0	0	0	7	1	0	0	0	0	2	2	2	8	1	0	3	9	1	0	1	0	0	1	0	0	7	0	7
LN681315.1.1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
FJ893987.1.1367	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
JN535091.1.1463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY049039.1.1474	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB974014.1.1410	4	18	11	23	27	4	10	17	27	0	4	7	2	4	0	27	4	12	9	14	0	0	17	12	6	20	1	3	16	0	0	11	4	15	10	23	19	3	18	0	0	6
HQ163246.1.1367	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KF906564.1.1529	0	1	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0
