	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
JN547444.1.1442	32	10	20	18	21	55	34	2	21	15	26	54	17	25	48	20	3	22	0	5	14	4	15	12	8	43	29	37	54	10	1	0	17	24	37	75	60	0	0	0	1	11	14	34	56
EU803081.1.1252	15	20	18	23	35	37	26	15	31	35	18	31	5	40	32	33	19	36	9	32	36	27	26	17	10	33	30	31	30	36	18	2	20	16	25	18	17	0	0	0	4	14	33	30	30
EF571939.1.1526	6	1	6	21	42	10	31	23	33	42	16	3	13	17	15	27	4	49	27	69	40	38	14	29	9	23	31	31	49	85	47	1	7	12	23	5	2	0	0	0	1	0	3	2	6
GQ349089.1.1337	17	39	25	31	25	7	10	18	15	20	13	19	39	18	21	7	25	10	30	22	18	23	16	28	54	13	17	14	14	34	30	30	20	17	14	13	29	22	33	37	35	48	30	23	16
EU802420.1.1442	17	15	22	22	25	46	33	2	24	12	33	48	13	33	74	20	5	14	0	4	12	1	17	16	10	52	23	37	58	8	2	0	12	20	55	49	43	0	0	0	1	16	15	28	51
AY726967.1.1236	14	0	1	4	1	1	1	1	0	0	0	0	0	0	2	6	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	57	41	9	6	0	1	0	0	7	2	0	1	7
JX945367.1.1372	19	25	19	27	23	59	35	1	23	19	26	68	16	27	40	16	9	22	3	3	13	6	11	14	4	58	36	35	48	4	5	0	12	10	46	38	38	0	0	0	2	25	18	35	39
EF574411.1.1527	27	28	12	17	23	21	31	12	26	26	27	35	2	23	6	18	49	15	6	17	30	20	10	9	17	28	39	54	23	51	48	3	10	19	24	18	15	0	0	0	0	8	9	27	14
EU802707.1.1478	24	44	48	28	21	14	45	37	42	81	46	22	3	66	36	94	51	24	6	14	14	14	17	15	11	31	40	32	27	39	12	0	1	4	16	3	14	0	0	0	0	5	3	8	4
AY664234.1.1252	12	9	7	11	6	46	21	11	19	13	19	40	6	19	19	14	12	30	9	29	30	28	25	27	14	28	28	24	30	26	20	2	10	13	22	28	23	2	2	8	4	11	58	56	40
HQ672001.1.1446	0	3	7	4	11	0	8	77	22	9	18	0	1	5	0	0	0	1	15	7	9	9	19	3	14	0	3	2	2	8	6	36	70	56	0	2	2	444	235	207	2	0	0	0	0
EU801992.1.1230	20	32	25	28	22	14	29	27	16	33	14	16	26	20	9	24	14	8	18	24	14	16	24	23	26	16	11	17	11	25	30	10	15	14	16	14	22	12	14	22	14	31	18	20	20
EU802548.1.1445	34	12	31	22	26	41	47	8	22	19	35	48	23	43	56	27	19	17	1	7	10	1	13	13	3	51	33	34	21	2	0	0	11	14	49	42	38	0	0	0	2	10	24	23	39
AB193978.1.1441	0	0	0	0	0	3	0	7	28	55	9	0	0	3	0	12	13	90	36	87	49	161	13	2	33	6	20	18	80	107	28	0	10	39	5	2	2	0	0	0	0	0	0	0	0
EU802929.1.1358	31	32	22	34	28	17	20	25	18	31	15	25	22	19	18	12	20	18	19	16	10	16	26	27	26	20	20	21	25	27	24	12	11	10	13	13	14	4	3	1	26	28	29	27	12
HQ163158.1.1317	6	9	8	21	17	12	4	8	12	8	17	17	26	15	13	10	11	14	25	24	16	25	26	31	37	22	15	5	18	15	39	9	16	11	8	7	13	13	19	30	36	28	30	20	17
JQ224996.1.1347	0	0	0	0	0	0	0	1	0	3	4	0	0	0	0	0	0	6	44	157	48	62	24	3	50	2	3	1	3	16	18	4	38	0	0	0	0	0	0	0	0	0	0	0	0
EU801696.1.1459	50	58	64	42	20	8	12	11	15	17	19	17	45	48	10	40	26	3	4	1	8	2	6	11	7	20	14	19	6	8	8	1	0	1	18	6	13	2	0	0	29	29	48	35	36
FJ744916.1.1319	19	30	22	20	20	9	18	4	9	15	8	11	29	21	11	15	11	16	18	19	22	14	18	33	31	18	14	11	14	15	22	19	17	18	8	7	26	16	24	26	41	34	19	12	8
EU802541.1.1287	21	14	23	16	19	41	32	3	23	18	45	45	13	30	41	12	4	20	0	4	4	2	20	7	6	49	23	41	39	5	3	0	19	26	36	32	52	0	0	0	0	14	12	27	39
EU803052.1.1425	29	13	14	10	11	57	27	3	21	12	40	57	2	30	62	26	5	33	0	4	9	0	9	2	3	62	46	44	70	8	0	0	7	8	47	42	43	0	0	0	0	2	9	30	35
GQ377772.1.1269	0	22	32	6	0	1	0	50	60	13	0	2	9	11	0	77	187	37	14	14	48	32	17	9	22	7	113	21	23	27	1	13	42	7	3	10	19	0	0	0	42	7	0	0	0
L10934.1.1298	14	27	19	29	23	10	9	15	16	25	11	11	23	21	9	21	11	15	17	12	11	9	22	23	22	26	19	21	23	20	36	8	11	12	14	8	22	31	41	71	30	32	19	13	11
AY664135.1.1215	30	8	26	20	27	47	30	1	26	15	15	48	9	16	56	13	4	18	0	5	5	3	20	14	9	39	27	36	43	0	3	0	14	17	47	43	30	0	0	0	0	7	13	27	43
JN832930.1.1413	32	24	21	14	34	19	15	9	22	12	16	18	26	25	12	4	9	15	16	25	17	18	21	18	37	8	6	10	11	18	29	8	15	10	4	7	11	0	0	0	23	24	36	20	15
EF573597.1.1440	32	19	20	16	37	33	33	17	21	33	14	47	20	25	30	24	8	19	5	15	24	14	12	26	10	37	29	40	23	28	16	2	8	17	21	22	24	2	2	0	18	50	16	26	30
AB193965.1.1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ163743.1.1324	15	40	24	24	19	5	12	10	21	19	11	11	34	33	10	12	25	11	17	8	7	17	11	26	22	23	16	25	17	24	33	30	18	19	11	10	10	2	3	2	43	35	12	15	10
EU802874.1.1450	26	11	22	13	27	40	38	9	20	12	34	61	3	46	57	15	10	26	0	1	12	7	19	2	6	67	36	40	51	8	1	0	15	12	46	28	46	0	0	0	2	3	4	17	36
GQ337263.1.1438	14	7	5	12	18	10	9	6	11	16	12	9	3	8	5	2	6	14	24	34	30	23	14	15	10	11	5	9	17	16	17	0	10	9	4	8	9	3	1	1	2	7	10	12	17
EF574990.1.1439	27	13	14	23	29	47	33	2	23	20	36	63	4	35	46	14	5	19	1	5	3	1	2	4	1	44	30	46	40	7	0	1	4	16	55	27	35	1	1	0	0	3	13	24	38
AY664211.1.1287	15	12	15	10	11	44	13	2	16	8	24	58	5	13	62	21	2	13	0	4	8	2	18	13	2	52	34	37	54	9	0	0	13	15	47	66	45	0	0	0	2	6	16	10	46
EF571982.1.1487	47	50	37	49	37	10	38	33	40	39	39	17	20	36	26	32	25	12	1	16	22	14	19	28	21	18	17	15	17	19	9	0	7	18	19	23	26	0	0	0	0	14	29	12	14
EU805091.1.1526	9	25	13	10	18	19	18	33	24	37	31	19	2	6	25	17	14	52	11	25	37	30	16	13	12	28	14	18	37	29	6	1	9	13	22	16	4	0	0	0	0	0	0	8	19
EU800927.1.1359	29	24	17	38	29	18	24	12	14	24	14	14	25	30	16	19	16	11	20	12	11	11	23	25	18	23	26	16	17	23	30	15	12	10	10	10	19	3	1	1	28	32	18	14	12
GU119298.1.1407	0	0	0	0	0	1	0	87	90	17	0	1	0	0	0	97	199	13	1	15	52	20	5	3	1	1	141	30	38	36	1	0	0	0	1	3	12	0	0	0	1	0	0	0	0
EU800517.1.1373	19	31	23	30	15	3	20	12	14	29	9	12	60	20	5	14	16	6	27	6	7	8	23	21	32	12	19	10	4	19	29	41	11	10	11	3	8	12	15	21	56	25	16	6	5
HQ671891.1.1439	10	20	16	61	34	2	20	121	33	31	91	0	6	42	5	3	0	20	14	34	35	60	57	18	70	4	20	10	15	32	33	12	223	284	7	0	3	5	7	1	1	1	0	0	0
EF571973.1.1459	33	1	91	24	27	19	19	6	23	11	27	28	0	39	13	81	20	22	6	22	27	16	24	6	6	17	17	18	21	14	11	1	9	17	11	9	10	0	0	0	0	1	11	18	17
EU802798.1.1422	19	13	18	18	30	52	25	4	22	10	37	37	14	29	49	14	4	14	1	2	7	5	20	19	11	67	40	20	43	1	4	0	14	17	34	23	26	0	0	0	0	7	12	16	34
EU803067.1.1257	20	15	18	17	32	34	35	19	25	22	19	20	8	20	21	10	4	28	5	27	25	15	19	13	11	22	19	21	16	28	11	1	10	9	27	23	18	3	5	0	10	21	21	31	20
GU234735.1.1317	21	24	21	15	16	8	18	9	17	15	25	13	19	26	18	16	17	8	14	10	7	23	21	16	14	19	21	14	14	28	17	7	9	13	11	9	9	27	38	65	9	29	21	12	5
GQ346891.1.1321	15	20	4	15	12	11	12	8	6	10	12	6	38	14	7	10	11	12	20	17	15	16	13	26	27	8	5	5	12	13	25	22	14	12	6	5	19	17	20	35	35	24	20	13	10
EU802543.1.1499	1	86	39	29	1	8	0	14	8	34	36	17	7	92	9	127	60	5	2	5	5	1	2	3	1	29	41	37	27	27	9	0	2	4	9	13	7	0	0	0	0	5	9	13	3
AACY020555729.127.1634	82	38	70	60	28	9	30	11	21	19	42	23	11	47	30	6	9	20	6	18	34	30	35	26	58	14	13	20	18	17	19	0	33	22	14	9	11	0	0	0	3	13	25	21	27
AY726930.1.1212	11	8	12	22	8	14	11	6	14	10	11	9	11	11	13	12	7	30	24	43	24	29	18	12	23	15	14	17	27	21	20	7	14	10	15	8	14	3	2	3	16	9	16	15	12
EF573001.1.1489	35	21	25	28	13	18	35	67	43	15	40	12	14	32	24	24	17	47	9	20	21	43	29	51	29	9	28	19	19	20	31	0	30	25	10	11	22	0	0	0	5	14	14	9	16
EU802539.1.1352	13	9	7	15	19	32	18	3	11	17	28	35	11	18	30	21	3	13	5	10	10	4	13	12	14	38	23	26	40	12	5	3	12	21	17	18	23	0	0	1	0	18	6	10	21
EU802529.1.1481	14	13	39	23	27	30	23	20	27	32	23	21	4	54	30	44	20	26	2	15	12	14	17	13	6	30	29	22	13	24	12	2	3	4	26	3	20	0	0	0	0	5	6	16	21
