	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0
HQ671891.1.1439	5	19	39	48	11	19	14	45	48	45	0	53	20	19	40	10	23	19	23	137	3	35	35	4	1	0	5
EF571973.1.1459	25	1	75	29	33	16	18	26	24	1	18	36	22	15	8	27	16	17	7	12	23	6	12	1	0	0	39
EU802798.1.1422	19	10	18	12	19	32	7	19	18	12	0	14	28	14	2	28	20	5	2	18	12	22	11	0	0	0	53
EU803067.1.1257	29	12	18	13	30	42	29	18	16	12	14	16	20	13	17	20	28	14	9	15	34	12	17	1	0	8	33
GU234735.1.1317	14	27	17	15	13	4	14	15	7	20	0	13	11	16	24	14	18	37	27	9	16	11	18	38	39	11	4
GQ346891.1.1321	20	24	14	15	15	6	8	5	11	38	15	15	5	17	20	8	9	22	16	12	16	9	11	32	19	22	10
EU802543.1.1499	4	41	37	27	2	2	0	46	0	1	1	0	10	3	1	23	12	19	10	2	1	6	3	0	0	0	4
AACY020555729.127.1634	26	20	53	54	15	4	5	40	6	14	1	3	45	35	18	12	14	14	13	29	7	4	13	0	0	5	6
AY726930.1.1212	32	12	7	16	44	18	29	12	28	13	17	32	17	28	15	26	24	18	24	15	27	17	21	2	1	10	44
EF573001.1.1489	15	21	22	36	16	15	3	47	8	18	2	11	44	34	27	10	13	26	29	24	11	4	14	0	0	6	7
EU802539.1.1352	18	18	11	15	26	47	18	23	26	10	8	12	20	8	5	22	23	5	3	24	19	21	20	0	0	1	52
EU802529.1.1481	5	13	36	12	15	15	6	18	5	2	0	2	18	9	12	36	21	30	7	1	18	14	10	0	0	0	12
EU237319.1.1311	13	10	18	17	10	28	12	22	18	10	0	17	9	11	3	31	35	9	0	18	10	17	10	0	0	0	39
JX945354.1.1385	6	3	19	5	8	20	7	15	1	2	0	6	36	2	2	44	41	2	0	6	8	21	11	0	0	0	16
EU802893.1.1441	13	19	23	23	15	5	13	31	3	7	0	10	15	13	11	21	14	19	21	5	12	13	12	1	0	6	5
EU805254.1.1438	30	3	35	25	38	36	35	25	36	0	17	52	23	18	11	21	22	11	19	15	41	17	23	0	0	0	31
GU235302.1.1328	16	17	11	13	10	16	6	22	15	16	0	13	15	13	29	25	13	17	11	20	15	8	8	14	1	13	5
EU802636.1.1362	25	17	17	10	27	25	12	15	11	37	1	16	11	13	19	23	22	12	13	16	25	16	12	5	1	7	35
JN547438.1.1447	9	1	5	2	10	31	8	1	8	2	1	5	13	5	1	38	43	3	1	5	6	38	13	0	0	0	46
